model,threshold,tp,fp,recall,fpr,precision
eb05-weighted,0.8737239850128405,15,48,1.0,0.24489795918367346,0.23809523809523808
eb05-weighted,0.8617194961435648,15,50,1.0,0.25510204081632654,0.23076923076923078
eb05-weighted,0.8536815485373983,15,51,1.0,0.2602040816326531,0.22727272727272727
eb05-weighted,0.8464977672968196,15,52,1.0,0.2653061224489796,0.22388059701492538
eb05-weighted,0.8449021505295523,15,59,1.0,0.3010204081632653,0.20270270270270271
eb05-weighted,0.8246515496920459,15,60,1.0,0.30612244897959184,0.2
eb05-weighted,0.8246080122504906,15,61,1.0,0.3112244897959184,0.19736842105263158
eb05-weighted,0.8211686076228888,15,62,1.0,0.3163265306122449,0.19480519480519481
eb05-weighted,0.8050067036186,15,63,1.0,0.32142857142857145,0.19230769230769232
eb05-weighted,0.7987605364521044,15,64,1.0,0.32653061224489793,0.189873417721519
eb05-weighted,0.7975590852819746,15,65,1.0,0.33163265306122447,0.1875
eb05-weighted,0.7932106616603738,15,66,1.0,0.336734693877551,0.18518518518518517
eb05-weighted,0.79104174566801,15,67,1.0,0.34183673469387754,0.18292682926829268
eb05-weighted,0.7768664129999306,15,68,1.0,0.3469387755102041,0.18072289156626506
eb05-weighted,0.7722920817306288,15,76,1.0,0.3877551020408163,0.16483516483516483
eb05-weighted,0.7700445915815891,15,77,1.0,0.39285714285714285,0.16304347826086957
eb05-weighted,0.7606710889800267,15,79,1.0,0.4030612244897959,0.1595744680851064
eb05-weighted,0.7589147865261373,15,84,1.0,0.42857142857142855,0.15151515151515152
eb05-weighted,0.7563405330870141,15,86,1.0,0.4387755102040816,0.1485148514851485
eb05-weighted,0.7452212939860169,15,87,1.0,0.44387755102040816,0.14705882352941177
eb05-weighted,0.7441020068156862,15,88,1.0,0.4489795918367347,0.14563106796116504
eb05-weighted,0.7427534491990512,15,89,1.0,0.45408163265306123,0.14423076923076922
eb05-weighted,0.7405395739363734,15,90,1.0,0.45918367346938777,0.14285714285714285
eb05-weighted,0.7349314175493313,15,91,1.0,0.4642857142857143,0.14150943396226415
eb05-weighted,0.7330038388331547,15,92,1.0,0.46938775510204084,0.14018691588785046
eb05-weighted,0.7293982147339543,15,93,1.0,0.4744897959183674,0.1388888888888889
eb05-weighted,0.724614319889727,15,94,1.0,0.47959183673469385,0.13761467889908258
eb05-weighted,0.7225412283115287,15,95,1.0,0.4846938775510204,0.13636363636363635
eb05-weighted,0.7140842107065076,15,96,1.0,0.4897959183673469,0.13513513513513514
eb05-weighted,0.7135675305537142,15,97,1.0,0.49489795918367346,0.13392857142857142
eb05-weighted,0.682953889171455,15,98,1.0,0.5,0.13274336283185842
eb05-weighted,0.6766767629221555,15,101,1.0,0.5153061224489796,0.12931034482758622
eb05-weighted,0.675227472815875,15,108,1.0,0.5510204081632653,0.12195121951219512
eb05-weighted,0.6729601189422688,15,110,1.0,0.5612244897959183,0.12
eb05-weighted,0.6610860378834176,15,111,1.0,0.5663265306122449,0.11904761904761904
eb05-weighted,0.6432208389060804,15,113,1.0,0.576530612244898,0.1171875
eb05-weighted,0.6246703589796346,15,116,1.0,0.5918367346938775,0.11450381679389313
eb05-weighted,0.6245833020829861,15,117,1.0,0.5969387755102041,0.11363636363636363
eb05-weighted,0.620426730737158,15,118,1.0,0.6020408163265306,0.11278195488721804
eb05-weighted,0.6160546429622817,15,121,1.0,0.6173469387755102,0.11029411764705882
eb05-weighted,0.614111193714713,15,122,1.0,0.6224489795918368,0.10948905109489052
eb05-weighted,0.6116333195877818,15,125,1.0,0.6377551020408163,0.10714285714285714
eb05-weighted,0.6075460129290989,15,126,1.0,0.6428571428571429,0.10638297872340426
eb05-weighted,0.6036654996923116,15,129,1.0,0.6581632653061225,0.10416666666666667
eb05-weighted,0.6019591020605922,15,131,1.0,0.6683673469387755,0.10273972602739725
eb05-weighted,0.5954843983117499,15,137,1.0,0.6989795918367347,0.09868421052631579
eb05-weighted,0.5913652943272377,15,138,1.0,0.7040816326530612,0.09803921568627451
eb05-weighted,0.5852008224824851,15,139,1.0,0.7091836734693877,0.09740259740259741
eb05-weighted,0.5825191190966109,15,140,1.0,0.7142857142857143,0.0967741935483871
eb05-weighted,0.5645837507301059,15,143,1.0,0.7295918367346939,0.0949367088607595
